date,stix,malpedia,secnews,cve
2016-12-30,952,0,0,9
2016-12-31,1487,0,0,8
2017-01-01,1191,1,0,1
2017-01-02,1129,2,0,26
2017-01-03,1198,2,3,34
2017-01-04,1984,3,6,21
2017-01-05,1556,8,7,15
2017-01-06,1354,2,5,59
2017-01-07,1573,0,0,0
2017-01-08,1596,0,0,0
2017-01-09,1302,2,4,5
2017-01-10,1802,3,4,20
2017-01-11,1523,1,3,54
2017-01-12,1401,2,2,160
2017-01-13,1541,1,6,46
2017-01-14,1422,0,0,10
2017-01-15,1584,0,0,10
2017-01-16,1817,0,2,2
2017-01-17,1485,4,10,16
2017-01-18,1642,6,5,61
2017-01-19,1485,1,13,39
2017-01-20,1255,1,9,25
2017-01-21,1628,1,0,1
2017-01-22,808,2,0,0
2017-01-23,1150,2,11,97
2017-01-24,1747,1,7,11
2017-01-25,1332,1,2,10
2017-01-26,1284,6,2,34
2017-01-27,1085,1,6,262
2017-01-28,923,1,2,45
2017-01-29,919,0,1,0
2017-01-30,1046,5,11,60
2017-01-31,1259,2,4,50
2017-02-01,1021,0,11,145
2017-02-02,1062,2,10,18
2017-02-03,2294,1,13,55
2017-02-04,912,1,0,6
2017-02-05,1073,2,0,3
2017-02-06,971,3,1,33
2017-02-07,899,3,5,34
2017-02-08,960,0,4,87
2017-02-09,1030,1,0,54
2017-02-10,1311,5,1,13
2017-02-11,1096,0,0,0
2017-02-12,979,3,0,6
2017-02-13,963,1,10,124
2017-02-14,949,4,2,5
2017-02-15,996,7,12,93
2017-02-16,959,8,4,31
2017-02-17,1019,0,4,60
2017-02-18,1494,2,1,3
2017-02-19,1157,0,0,0
2017-02-20,1289,2,1,155
2017-02-21,1185,3,17,21
2017-02-22,870,3,10,66
2017-02-23,1175,2,8,13
2017-02-24,1226,2,5,34
2017-02-25,922,1,1,0
2017-02-26,965,1,0,1
2017-02-27,1264,10,6,33
2017-02-28,1465,1,5,12
2017-03-01,978,5,7,58
2017-03-02,1337,1,16,48
2017-03-03,1177,0,9,51
2017-03-04,1312,0,6,8
2017-03-05,1029,0,0,17
2017-03-06,1214,1,4,28
2017-03-07,606,5,9,65
2017-03-08,700,1,13,112
2017-03-09,653,1,4,29
2017-03-10,1956,2,4,26
2017-03-11,963,1,0,9
2017-03-12,586,0,0,15
2017-03-13,768,4,10,17
2017-03-14,1202,6,10,65
2017-03-15,1451,6,13,117
2017-03-16,1160,2,2,39
2017-03-17,1769,3,2,181
2017-03-18,1389,0,1,4
2017-03-19,1071,0,0,3
2017-03-20,1607,1,8,69
2017-03-21,2666,3,6,23
2017-03-22,1553,4,8,28
2017-03-23,1995,3,17,106
2017-03-24,1537,1,10,48
2017-03-25,1913,0,2,2
2017-03-26,886,1,0,8
2017-03-27,1528,2,9,62
2017-03-28,2664,5,8,42
2017-03-29,1281,3,4,42
2017-03-30,1265,6,7,44
2017-03-31,1429,1,1,37
2017-04-01,824,0,1,10
2017-04-02,1228,0,0,176
2017-04-03,943,16,0,54
2017-04-04,1546,4,7,27
2017-04-05,1527,5,5,31
2017-04-06,1638,6,5,38
2017-04-07,1361,1,17,87
2017-04-08,1552,0,0,0
2017-04-09,864,0,0,24
2017-04-10,2520,6,8,94
2017-04-11,1125,1,26,38
2017-04-12,1086,1,12,152
2017-04-13,866,4,3,77
2017-04-14,606,0,10,58
2017-04-15,1012,0,0,3
2017-04-16,847,0,0,1
2017-04-17,915,4,4,30
2017-04-18,1110,4,5,14
2017-04-19,1031,2,7,20
2017-04-20,1661,2,9,103
2017-04-21,1081,5,8,45
2017-04-22,911,0,4,1
2017-04-23,920,1,0,17
2017-04-24,926,3,2,272
2017-04-25,1236,4,6,28
2017-04-26,949,4,2,10
2017-04-27,1045,7,14,21
2017-04-28,1429,2,8,77
2017-04-29,1243,0,0,9
2017-04-30,1143,0,0,28
2017-05-01,1127,2,10,44
2017-05-02,1202,6,23,19
2017-05-03,1665,7,16,25
2017-05-04,4547,2,13,18
2017-05-05,1801,4,3,44
2017-05-06,1043,0,0,11
2017-05-07,1089,1,0,8
2017-05-08,983,1,1,26
2017-05-09,553,7,5,41
2017-05-10,912,4,4,30
2017-05-11,1505,2,10,3122
2017-05-12,1096,9,3,176
2017-05-13,962,1,1,0
2017-05-14,1313,2,0,2
2017-05-15,886,2,3,23
2017-05-16,1222,3,19,42
2017-05-17,1841,1,10,21
2017-05-18,1581,1,13,39
2017-05-19,1345,2,11,27
2017-05-20,1146,0,0,0
2017-05-21,591,0,0,22
2017-05-22,1368,1,8,128
2017-05-23,2042,4,7,67
2017-05-24,2011,3,14,16
2017-05-25,1300,4,4,34
2017-05-26,1776,1,8,36
2017-05-27,1253,1,0,1
2017-05-28,1106,0,0,10
2017-05-29,1178,1,2,24
2017-05-30,1302,2,0,16
2017-05-31,1821,3,1,11
2017-06-01,2114,2,11,24
2017-06-02,1675,1,14,29
2017-06-03,1382,0,2,8
2017-06-04,1336,0,0,3
2017-06-05,1319,3,12,41
2017-06-06,1058,2,4,46
2017-06-07,1518,3,2,60
2017-06-08,1887,3,8,65
2017-06-09,1926,5,9,69
2017-06-10,1678,0,0,0
2017-06-11,1137,0,0,3
2017-06-12,808,9,1,25
2017-06-13,1650,4,12,121
2017-06-14,1756,2,18,34
2017-06-15,1226,3,6,109
2017-06-16,1146,1,13,72
2017-06-17,1241,0,0,2
2017-06-18,951,0,0,2
2017-06-19,1117,5,11,52
2017-06-20,1325,2,11,31
2017-06-21,1381,1,0,34
2017-06-22,2092,7,2,26
2017-06-23,704,0,9,12
2017-06-24,286,0,0,6
2017-06-25,281,0,0,10
2017-06-26,1880,2,7,32
2017-06-27,1567,9,7,62
2017-06-28,1222,6,14,29
2017-06-29,1273,5,10,27
2017-06-30,1085,4,10,55
2017-07-01,2303,1,0,81
2017-07-02,1031,1,0,11
2017-07-03,1233,4,7,15
2017-07-04,1110,4,1,36
2017-07-05,924,3,8,204
2017-07-06,676,1,8,22
2017-07-07,977,1,6,67
2017-07-08,1406,1,0,8
2017-07-09,1374,0,0,3
2017-07-10,794,1,3,36
2017-07-11,802,3,4,80
2017-07-12,2435,4,10,48
2017-07-13,940,2,3,102
2017-07-14,1269,1,8,47
2017-07-15,670,1,0,0
2017-07-16,614,0,0,5
2017-07-17,831,4,7,68
2017-07-18,700,5,4,30
2017-07-19,953,2,8,22
2017-07-20,1136,2,8,101
2017-07-21,817,0,2,44
2017-07-22,877,0,1,13
2017-07-23,954,0,0,35
2017-07-24,2104,5,1,49
2017-07-25,1833,6,7,54
2017-07-26,1235,0,7,36
2017-07-27,1683,7,6,51
2017-07-28,1523,0,4,21
2017-07-29,1667,0,0,10
2017-07-30,1439,1,0,11
2017-07-31,1082,3,13,63
2017-08-01,1060,4,6,29
2017-08-02,1496,2,2,67
2017-08-03,1929,2,8,8
2017-08-04,1727,1,6,34
2017-08-05,1373,1,0,23
2017-08-06,1360,0,0,7
2017-08-07,958,3,2,148
2017-08-08,1572,2,8,398
2017-08-09,2116,1,3,43
2017-08-10,1491,2,5,25
2017-08-11,1312,2,2,65
2017-08-12,1280,0,2,0
2017-08-13,1116,1,0,0
2017-08-14,1298,1,11,17
2017-08-15,1385,3,3,8
2017-08-16,1196,3,9,23
2017-08-17,1508,2,12,17
2017-08-18,1963,5,10,64
2017-08-19,1452,0,0,11
2017-08-20,1366,1,0,4
2017-08-21,1275,2,6,12
2017-08-22,1779,2,10,25
2017-08-23,4412,3,6,50
2017-08-24,6315,4,3,30
2017-08-25,1184,4,11,48
2017-08-26,1017,1,0,1
2017-08-27,1260,0,0,7
2017-08-28,524,3,6,104
2017-08-29,487,4,8,69
2017-08-30,1155,2,13,41
2017-08-31,402,4,13,36
2017-09-01,1115,3,7,30
2017-09-02,495,0,0,3
2017-09-03,494,0,0,7
2017-09-04,456,1,2,12
2017-09-05,631,4,8,59
2017-09-06,795,2,7,29
2017-09-07,800,3,5,82
2017-09-08,857,0,3,11
2017-09-09,750,0,2,13
2017-09-10,494,0,0,0
2017-09-11,475,1,3,89
2017-09-12,631,2,12,117
2017-09-13,631,1,9,45
2017-09-14,1195,0,3,117
2017-09-15,606,6,2,30
2017-09-16,813,0,1,0
2017-09-17,546,0,0,18
2017-09-18,604,3,4,60
2017-09-19,1161,5,8,40
2017-09-20,1291,8,6,45
2017-09-21,636,7,8,88
2017-09-22,793,2,6,24
2017-09-23,1195,0,0,11
2017-09-24,1307,0,0,0
2017-09-25,919,3,7,54
2017-09-26,1091,5,0,35
2017-09-27,1503,1,4,52
2017-09-28,1199,2,4,42
2017-09-29,1983,1,7,40
2017-09-30,1143,0,0,1
2017-10-01,976,0,0,8
2017-10-02,1207,1,4,112
2017-10-03,839,2,11,16
2017-10-04,1145,2,5,48
2017-10-05,623,5,5,45
2017-10-06,551,2,5,48
2017-10-07,604,0,1,0
2017-10-08,649,0,0,0
2017-10-09,717,1,8,16
2017-10-10,946,2,9,110
2017-10-11,1077,4,5,62
2017-10-12,1411,4,9,22
2017-10-13,1148,5,9,12
2017-10-14,535,0,1,3
2017-10-15,477,0,0,2
2017-10-16,450,8,4,34
2017-10-17,499,1,8,39
2017-10-18,550,1,6,54
2017-10-19,1102,3,12,223
2017-10-20,1048,7,16,19
2017-10-21,1145,0,3,5
2017-10-22,958,1,0,73
2017-10-23,1079,1,2,116
2017-10-24,658,8,2,28
2017-10-25,833,2,0,6
2017-10-26,1053,5,0,34
2017-10-27,1149,7,5,108
2017-10-28,556,0,0,5
2017-10-29,586,1,0,26
2017-10-30,779,3,2,37
2017-10-31,641,3,3,74
2017-11-01,998,4,8,54
2017-11-02,1880,7,9,22
2017-11-03,1085,1,9,35
2017-11-04,726,1,5,17
2017-11-05,1047,1,0,5
2017-11-06,1480,2,8,67
2017-11-07,1080,4,5,13
2017-11-08,815,5,4,24
2017-11-09,838,2,3,38
2017-11-10,1541,2,2,18
2017-11-11,1915,0,0,1
2017-11-12,1498,2,0,4
2017-11-13,974,3,6,101
2017-11-14,1341,4,0,72
2017-11-15,1047,1,4,192
2017-11-16,1340,2,7,73
2017-11-17,895,0,6,45
2017-11-18,1161,0,0,6
2017-11-19,1160,1,0,3
2017-11-20,1237,4,3,38
2017-11-21,1211,3,4,11
2017-11-22,1100,2,9,17
2017-11-23,1508,1,3,9
2017-11-24,719,1,2,10
2017-11-25,892,1,1,6
2017-11-26,324,0,0,0
2017-11-27,992,1,8,38
2017-11-28,1005,4,16,16
2017-11-29,1399,0,8,21
2017-11-30,1189,0,8,61
2017-12-01,986,1,0,42
2017-12-02,519,1,2,6
2017-12-03,154,2,0,9
2017-12-04,349,4,1,112
2017-12-05,1656,3,3,17
2017-12-06,1256,3,2,31
2017-12-07,1531,3,6,20
2017-12-08,838,3,4,31
2017-12-09,1292,1,1,86
2017-12-10,1152,0,0,5
2017-12-11,1415,7,2,30
2017-12-12,1145,1,9,66
2017-12-13,910,7,4,90
2017-12-14,2676,4,7,31
2017-12-15,1207,3,3,45
2017-12-16,1015,0,1,5
2017-12-17,1594,0,0,2
2017-12-18,770,6,1,42
2017-12-19,778,6,8,18
2017-12-20,955,4,1,127
2017-12-21,755,1,7,28
2017-12-22,651,2,7,19
2017-12-23,735,0,1,16
2017-12-24,1251,2,0,24
2017-12-25,934,0,0,40
2017-12-26,1000,0,2,17
2017-12-27,822,1,4,20
2017-12-28,851,1,4,4
2017-12-29,694,0,2,24
2017-12-30,1458,2,0,23
2017-12-31,1232,0,0,3
2018-01-01,916,2,1,10
2018-01-02,1030,0,3,95
2018-01-03,943,1,1,99
2018-01-04,1142,2,3,34
2018-01-05,1393,0,5,311
2018-01-06,915,1,0,4
2018-01-07,1146,0,4,0
2018-01-08,1198,1,6,56
2018-01-09,821,2,2,65
2018-01-10,350,4,4,48
2018-01-11,1446,3,4,67
2018-01-12,1585,5,3,62
2018-01-13,499,1,0,21
2018-01-14,1086,0,0,21
2018-01-15,1005,3,1,6
2018-01-16,2584,8,4,46
2018-01-17,1271,6,8,9
2018-01-18,1314,2,4,222
2018-01-19,1069,0,2,20
2018-01-20,1056,0,1,1
2018-01-21,1311,1,2,7
2018-01-22,1206,5,4,23
2018-01-23,934,6,9,135
2018-01-24,1720,7,3,48
2018-01-25,1148,3,6,31
2018-01-26,793,3,5,42
2018-01-27,1224,1,0,3
2018-01-28,543,0,0,1
2018-01-29,1149,5,0,36
2018-01-30,1019,1,2,24
2018-01-31,746,2,5,31
2018-02-01,1312,4,5,32
2018-02-02,3049,2,5,55
2018-02-03,1522,1,0,10
2018-02-04,1267,2,0,5
2018-02-05,2073,3,8,70
2018-02-06,1208,1,9,34
2018-02-07,1170,4,13,54
2018-02-08,1073,11,11,79
2018-02-09,958,2,7,68
2018-02-10,1992,0,1,0
2018-02-11,1818,1,0,4
2018-02-12,1810,3,4,34
2018-02-13,1518,4,7,73
2018-02-14,2402,0,6,30
2018-02-15,1637,5,0,108
2018-02-16,1449,1,2,27
2018-02-17,1763,1,0,31
2018-02-18,2058,0,0,9
2018-02-19,831,1,0,38
2018-02-20,885,5,6,27
2018-02-21,1269,9,8,45
2018-02-22,753,1,8,44
2018-02-23,6563,3,6,50
2018-02-24,1089,0,0,11
2018-02-25,1560,0,0,9
2018-02-26,1120,5,4,34
2018-02-27,1288,3,19,86
2018-02-28,1276,5,9,36
2018-03-01,1484,4,8,49
2018-03-02,2987,5,5,27
2018-03-03,1338,0,0,0
2018-03-04,1167,1,0,7
2018-03-05,1156,3,4,87
2018-03-06,1963,3,9,51
2018-03-07,1214,3,1,21
2018-03-08,4191,6,6,58
2018-03-09,7047,8,5,92
2018-03-10,808,1,0,5
2018-03-11,820,0,0,3
2018-03-12,955,3,2,46
2018-03-13,2655,4,2,59
2018-03-14,2036,3,1,132
2018-03-15,2309,0,5,54
2018-03-16,1661,2,8,941
2018-03-17,1929,0,0,3
2018-03-18,1545,0,0,9
2018-03-19,1338,2,8,40
2018-03-20,1386,5,14,57
2018-03-21,1634,4,16,35
2018-03-22,1186,2,6,40
2018-03-23,1241,5,7,20
2018-03-24,1353,0,0,12
2018-03-25,1822,1,2,35
2018-03-26,1523,1,6,58
2018-03-27,1058,2,2,62
2018-03-28,1254,5,1,77
2018-03-29,1741,2,2,42
2018-03-30,1762,6,0,34
2018-03-31,888,1,1,8
2018-04-01,1916,0,0,9
2018-04-02,1309,1,2,358
2018-04-03,1177,2,1,141
2018-04-04,1557,4,4,60
2018-04-05,374,3,5,27
2018-04-06,1229,0,5,20
2018-04-07,789,0,1,10
2018-04-08,871,2,0,5
2018-04-09,2262,0,4,11
2018-04-10,1175,5,19,56
2018-04-11,1432,1,4,39
2018-04-12,1309,2,9,125
2018-04-13,1323,4,1,28
2018-04-14,1069,0,0,8
2018-04-15,1397,1,0,5
2018-04-16,1045,6,4,30
2018-04-17,1382,3,8,22
2018-04-18,5790,5,11,56
2018-04-19,723,1,8,196
2018-04-20,1387,2,6,29
2018-04-21,685,0,2,8
2018-04-22,827,1,0,8
2018-04-23,1291,5,3,22
2018-04-24,1081,4,1,47
2018-04-25,988,0,10,41
2018-04-26,1246,2,2,457
2018-04-27,1121,2,0,21
2018-04-28,831,0,0,2
2018-04-29,743,1,0,16
2018-04-30,857,0,10,30
2018-05-01,823,2,7,35
2018-05-02,797,0,4,49
2018-05-03,806,6,10,15
2018-05-04,1321,1,1,19
2018-05-05,677,0,1,6
2018-05-06,952,0,0,4
2018-05-07,1276,3,2,28
2018-05-08,2664,2,8,22
2018-05-09,1944,4,6,98
2018-05-10,1035,1,14,41
2018-05-11,1837,2,11,46
2018-05-12,646,2,1,5
2018-05-13,1463,0,0,5
2018-05-14,3277,3,15,37
2018-05-15,2419,5,13,34
2018-05-16,1733,0,1,27
2018-05-17,983,3,7,123
2018-05-18,961,3,4,25
2018-05-19,926,2,0,38
2018-05-20,1732,1,0,4
2018-05-21,977,5,5,16
2018-05-22,785,4,2,88
2018-05-23,762,4,10,33
2018-05-24,1479,3,7,68
2018-05-25,759,2,4,28
2018-05-26,673,0,0,16
2018-05-27,1237,0,0,0
2018-05-28,681,1,4,9
2018-05-29,1436,7,11,18
2018-05-30,901,1,13,36
2018-05-31,765,3,4,51
2018-06-01,785,1,12,87
2018-06-02,1375,1,0,4
2018-06-03,1147,0,0,0
2018-06-04,1271,0,8,45
2018-06-05,954,1,13,66
2018-06-06,976,4,6,11
2018-06-07,955,5,12,37
2018-06-08,1014,2,2,84
2018-06-09,1585,0,0,1
2018-06-10,2388,0,0,0
2018-06-11,1249,0,6,345
2018-06-12,1283,3,9,40
2018-06-13,1209,5,1,42
2018-06-14,5028,3,2,79
2018-06-15,1352,5,0,37
2018-06-16,530,0,0,1
2018-06-17,462,1,0,30
2018-06-18,607,4,4,14
2018-06-19,1843,7,4,57
2018-06-20,1406,3,6,38
2018-06-21,946,0,7,36
2018-06-22,1765,1,8,22
2018-06-23,1288,3,0,8
2018-06-24,1138,0,0,4
2018-06-25,719,1,4,30
2018-06-26,1492,6,5,130
2018-06-27,1178,1,6,19
2018-06-28,820,2,10,57
2018-06-29,1692,5,5,33
2018-06-30,1151,0,0,3
2018-07-01,1208,0,2,8
2018-07-02,621,0,8,66
2018-07-03,524,5,2,52
2018-07-04,2380,0,0,9
2018-07-05,1191,3,8,136
2018-07-06,1326,6,11,34
2018-07-07,769,1,0,6
2018-07-08,823,2,0,4
2018-07-09,869,2,19,430
2018-07-10,1679,2,9,68
2018-07-11,1286,4,10,94
2018-07-12,1035,2,4,30
2018-07-13,1120,2,10,64
2018-07-14,969,0,0,0
2018-07-15,836,0,1,9
2018-07-16,654,2,6,56
2018-07-17,973,4,4,43
2018-07-18,1358,5,14,258
2018-07-19,793,5,11,57
2018-07-20,1038,5,14,148
2018-07-21,479,0,0,0
2018-07-22,544,0,0,6
2018-07-23,866,2,12,47
2018-07-24,1001,2,6,43
2018-07-25,938,4,8,14
2018-07-26,1426,7,4,105
2018-07-27,397,2,2,73
2018-07-28,573,1,0,9
2018-07-29,609,2,0,10
2018-07-30,743,2,10,13
2018-07-31,981,8,16,131
2018-08-01,1140,5,3,51
2018-08-02,2448,7,13,36
2018-08-03,1941,3,3,44
2018-08-04,946,0,0,1
2018-08-05,1930,2,0,19
2018-08-06,1663,3,5,73
2018-08-07,1012,2,1,12
2018-08-08,1021,2,4,20
2018-08-09,1409,4,5,21
2018-08-10,1870,0,0,16
2018-08-11,903,0,0,0
2018-08-12,1428,0,2,5
2018-08-13,900,1,7,29
2018-08-14,905,2,28,36
2018-08-15,1494,3,12,116
2018-08-16,608,2,4,25
2018-08-17,864,2,4,29
2018-08-18,1280,1,0,8
2018-08-19,1348,0,0,1
2018-08-20,1443,5,0,32
2018-08-21,1215,4,7,22
2018-08-22,1243,4,17,30
2018-08-23,1431,3,24,10
2018-08-24,1964,3,20,32
2018-08-25,1183,1,0,27
2018-08-26,1189,1,0,8
2018-08-27,1012,2,6,23
2018-08-28,1383,3,7,55
2018-08-29,1828,4,12,54
2018-08-30,1529,10,10,49
2018-08-31,1683,1,5,15
2018-09-01,1159,0,0,19
2018-09-02,700,2,0,28
2018-09-03,1096,2,0,29
2018-09-04,1085,1,7,54
2018-09-05,1059,4,14,84
2018-09-06,1450,3,12,38
2018-09-07,1046,2,10,54
2018-09-08,1437,0,0,6
2018-09-09,646,0,0,7
2018-09-10,929,5,1,44
2018-09-11,1543,4,3,72
2018-09-12,1197,5,4,40
2018-09-13,1232,1,8,79
2018-09-14,1633,4,4,29
2018-09-15,1121,0,0,9
2018-09-16,898,0,0,30
2018-09-17,1548,1,10,29
2018-09-18,1870,4,6,83
2018-09-19,925,3,13,49
2018-09-20,1344,2,9,45
2018-09-21,888,3,8,58
2018-09-22,1336,0,1,4
2018-09-23,784,0,2,15
2018-09-24,826,1,8,32
2018-09-25,1658,0,5,56
2018-09-26,1403,1,7,66
2018-09-27,875,5,9,31
2018-09-28,1370,1,11,52
2018-09-29,998,0,1,2
2018-09-30,1647,0,0,6
2018-10-01,1487,8,5,88
2018-10-02,1176,3,18,60
2018-10-03,1212,4,18,80
2018-10-04,1241,6,3,31
2018-10-05,1528,2,0,7
2018-10-06,973,0,0,2
2018-10-07,1349,0,0,6
2018-10-08,1157,4,3,25
2018-10-09,968,3,10,62
2018-10-10,1357,2,7,94
2018-10-11,906,3,14,14
2018-10-12,1019,0,10,93
2018-10-13,945,0,1,0
2018-10-14,788,1,0,2
2018-10-15,969,2,6,31
2018-10-16,1189,1,12,31
2018-10-17,2899,5,13,259
2018-10-18,1011,2,8,62
2018-10-19,1417,1,2,28
2018-10-20,1254,1,2,2
2018-10-21,1017,0,0,2
2018-10-22,1223,1,2,14
2018-10-23,1591,3,4,65
2018-10-24,1166,1,6,30
2018-10-25,1338,6,7,10
2018-10-26,1624,2,6,26
2018-10-27,1277,0,0,14
2018-10-28,1317,1,0,35
2018-10-29,1060,1,6,54
2018-10-30,903,3,2,48
2018-10-31,1393,2,4,78
2018-11-01,1114,3,4,20
2018-11-02,1119,2,4,22
2018-11-03,752,1,0,3
2018-11-04,903,1,1,5
2018-11-05,1005,5,8,20
2018-11-06,915,2,9,20
2018-11-07,935,2,9,62
2018-11-08,534,6,17,25
2018-11-09,542,2,13,19
2018-11-10,500,0,0,8
2018-11-11,850,0,0,5
2018-11-12,536,3,6,23
2018-11-13,1097,4,10,40
2018-11-14,2650,3,5,151
2018-11-15,2196,3,5,43
2018-11-16,983,4,7,35
2018-11-17,817,2,0,12
2018-11-18,949,1,0,4
2018-11-19,1059,2,10,14
2018-11-20,1004,6,13,44
2018-11-21,1158,2,5,9
2018-11-22,910,1,8,9
2018-11-23,731,1,6,14
2018-11-24,658,0,2,0
2018-11-25,1033,0,0,3
2018-11-26,1340,3,8,46
2018-11-27,1110,4,6,92
2018-11-28,1085,4,5,37
2018-11-29,809,6,6,39
2018-11-30,892,2,5,22
2018-12-01,713,2,0,2
2018-12-02,1116,0,0,2
2018-12-03,785,1,14,62
2018-12-04,743,2,11,82
2018-12-05,838,8,8,26
2018-12-06,873,2,1,76
2018-12-07,774,2,2,51
2018-12-08,791,0,0,8
2018-12-09,794,0,0,3
2018-12-10,714,3,7,41
2018-12-11,625,1,11,65
2018-12-12,1199,7,8,76
2018-12-13,1179,4,10,42
2018-12-14,780,4,10,19
2018-12-15,668,0,1,1
2018-12-16,681,0,0,0
2018-12-17,678,1,6,74
2018-12-18,944,3,10,24
2018-12-19,952,4,7,34
2018-12-20,770,5,6,72
2018-12-21,1177,4,0,28
2018-12-22,805,0,0,14
2018-12-23,672,0,0,9
2018-12-24,1177,2,4,36
2018-12-25,835,1,2,11
2018-12-26,992,0,6,30
2018-12-27,669,0,0,5
2018-12-28,688,1,12,74
2018-12-29,725,1,2,0
2018-12-30,690,1,0,10
2018-12-31,568,1,2,32
2019-01-01,795,0,4,16
2019-01-02,775,1,4,42
2019-01-03,300,3,4,56
2019-01-04,736,3,6,5
2019-01-05,765,2,1,0
2019-01-06,571,1,0,0
2019-01-07,901,3,8,28
2019-01-08,1071,1,8,97
2019-01-09,1127,3,21,241
2019-01-10,953,7,1,36
2019-01-11,872,6,13,58
2019-01-12,1154,0,0,3
2019-01-13,876,0,0,6
2019-01-14,1187,3,14,12
2019-01-15,963,5,6,41
2019-01-16,1130,2,18,191
2019-01-17,1643,8,10,71
2019-01-18,900,4,8,118
2019-01-19,1155,1,0,2
2019-01-20,854,0,0,0
2019-01-21,940,2,2,6
2019-01-22,974,3,11,357
2019-01-23,1164,3,5,45
2019-01-24,1573,5,3,93
2019-01-25,742,2,5,11
2019-01-26,1074,0,0,3
2019-01-27,951,0,0,2
2019-01-28,1245,2,12,18
2019-01-29,1545,4,17,29
2019-01-30,1839,6,5,15
2019-01-31,1574,1,17,22
2019-02-01,1409,3,6,27
2019-02-02,1048,2,0,0
2019-02-03,1120,2,0,2
2019-02-04,1289,2,5,52
